EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/11/2022 6:03:12 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,amo_lag1_pcp
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985


Time,"Total B","Commercial B","Fish B","Invertebrates B","Invertebrates / Fish B","Demersal B","Pelagic B","Demersal / Pelagic B","Predatory B","Kempton's Q","Shannon diversity","Total C","Fish C","Invertebrate C","Invertebrates / Fish C","Demersal C","Pelagic C","Demersal / pelagic C","Predatory C",Discards,"TL catch",MTI,"TL community","TL community 2","TL community 3.25","TL community 4","Intrinsic Vul. Index","Endemics B","Endemics C","IUCN species B","IUCN species C","Mammals, birds & reptiles B","Mammals, birds & reptiles C","ML of fish community","ML of fish C","MW of fish community","MW of fish C","MLS of fish community","MLS of fish C"
39,52.88019,2.940776,0,0,0,0,0,0,0.1043622,1.631365,1.44831,0.5929816,0,0,0,0,0,0,0.05998079,0.581878,3.031388,3.641827,1.797802,2.347093,3.612848,4.052819,0,0,0,0,0,0,0,0,0,0,0,0,0
40,52.93987,3.017406,0,0,0,0,0,0,0.1037583,1.645042,1.454046,0.5886695,0,0,0,0,0,0,0.05942352,0.577566,3.032643,3.638461,1.798847,2.347727,3.611155,4.052765,0,0,0,0,0,0,0,0,0,0,0,0,0
41,52.92893,2.974175,0,0,0,0,0,0,0.1032471,1.658596,1.450329,0.5829855,0,0,0,0,0,0,0.05893691,0.5718819,3.034897,3.63517,1.798478,2.347548,3.609429,4.052716,0,0,0,0,0,0,0,0,0,0,0,0,0
42,52.98998,3.059474,0,0,0,0,0,0,0.1028423,1.671617,1.456265,0.5800539,0,0,0,0,0,0,0.05852533,0.5689503,3.035242,3.632041,1.79969,2.348355,3.607757,4.05267,0,0,0,0,0,0,0,0,0,0,0,0,0
43,52.95961,2.994883,0,0,0,0,0,0,0.1025175,1.68478,1.450561,0.5770246,0,0,0,0,0,0,0.05817941,0.5659209,3.036825,3.628962,1.799084,2.348122,3.60605,4.052629,0,0,0,0,0,0,0,0,0,0,0,0,0
44,52.92494,2.946022,0,0,0,0,0,0,0.1022617,1.697917,1.445986,0.5749496,0,0,0,0,0,0,0.05789433,0.563846,3.038847,3.625964,1.798601,2.347974,3.604366,4.052592,0,0,0,0,0,0,0,0,0,0,0,0,0
45,52.9624,3.029857,0,0,0,0,0,0,0.1021376,1.708277,1.452436,0.5743285,0,0,0,0,0,0,0.05769669,0.5632249,3.039005,3.623163,1.799687,2.348782,3.60279,4.052559,0,0,0,0,0,0,0,0,0,0,0,0,0
46,53.02733,3.140585,0,0,0,0,0,0,0.1022314,1.715123,1.460549,0.5755077,0,0,0,0,0,0,0.05762308,0.5644041,3.037613,3.62061,1.801144,2.349837,3.60133,4.052526,0,0,0,0,0,0,0,0,0,0,0,0,0
47,53.03036,3.131026,0,0,0,0,0,0,0.1024842,1.716856,1.459335,0.5759761,0,0,0,0,0,0,0.05765088,0.5648724,3.038644,3.618175,1.801192,2.350057,3.59989,4.052497,0,0,0,0,0,0,0,0,0,0,0,0,0
48,53.05615,3.16634,0,0,0,0,0,0,0.1028595,1.712016,1.461214,0.5744399,0,0,0,0,0,0,0.05776607,0.5633363,3.041665,3.615862,1.801807,2.350684,3.598504,4.052472,0,0,0,0,0,0,0,0,0,0,0,0,0
49,53.20658,3.404718,0,0,0,0,0,0,0.1059588,1.70042,1.477518,0.5692912,0,0,0,0,0,0,0.02965868,0.5581876,2.971662,3.544206,1.804964,2.35302,3.59839,4.052501,0,0,0,0,0,0,0,0,0,0,0,0,0
50,53.31491,3.534112,0,0,0,0,0,0,0.1091851,1.689826,1.484882,0.5720794,0,0,0,0,0,0,0.03060199,0.5609758,2.972537,3.545249,1.807,2.354677,3.598284,4.052517,0,0,0,0,0,0,0,0,0,0,0,0,0
51,53.32268,3.490748,0,0,0,0,0,0,0.1122466,1.678628,1.480294,0.576156,0,0,0,0,0,0,0.03149732,0.5650524,2.974865,3.545963,1.806949,2.355049,3.597981,4.052532,0,0,0,0,0,0,0,0,0,0,0,0,0
52,53.29211,3.414359,0,0,0,0,0,0,0.1150897,1.666928,1.473302,0.5803736,0,0,0,0,0,0,0.03233364,0.56927,2.977759,3.546363,1.806354,2.355044,3.59752,4.052546,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53.30784,3.448968,0,0,0,0,0,0,0.1178061,1.655452,1.475408,0.5880246,0,0,0,0,0,0,0.0331283,0.576921,2.977758,3.5466,1.806978,2.35572,3.597042,4.052557,0,0,0,0,0,0,0,0,0,0,0,0,0
54,53.31928,3.471678,0,0,0,0,0,0,0.1204408,1.644499,1.476975,0.6003007,0,0,0,0,0,0,0.033891,0.589197,2.975695,3.546694,1.807464,2.356285,3.596512,4.052566,0,0,0,0,0,0,0,0,0,0,0,0,0
55,53.32886,3.488205,0,0,0,0,0,0,0.1229825,1.634184,1.478327,0.6146441,0,0,0,0,0,0,0.03461953,0.6035405,2.973013,3.546651,1.807854,2.356768,3.595926,4.05257,0,0,0,0,0,0,0,0,0,0,0,0,0
56,53.33744,3.501639,0,0,0,0,0,0,0.125432,1.624687,1.479468,0.6294251,0,0,0,0,0,0,0.03531404,0.6183215,2.97029,3.546484,1.808193,2.357213,3.595293,4.052572,0,0,0,0,0,0,0,0,0,0,0,0,0
57,53.34507,3.513062,0,0,0,0,0,0,0.1277905,1.616174,1.480263,0.6422377,0,0,0,0,0,0,0.03597476,0.631134,2.968488,3.54621,1.80851,2.357648,3.59462,4.052571,0,0,0,0,0,0,0,0,0,0,0,0,0
58,53.42498,3.643548,0,0,0,0,0,0,0.130139,1.609077,1.490137,0.6552314,0,0,0,0,0,0,0.03661776,0.6441278,2.965653,3.545936,1.810253,2.358959,3.594,4.052565,0,0,0,0,0,0,0,0,0,0,0,0,0
59,53.44043,3.646032,0,0,0,0,0,0,0.1324782,1.603467,1.489753,0.6653687,0,0,0,0,0,0,0.03724392,0.6542651,2.964879,3.545595,1.810546,2.359398,3.593347,4.052555,0,0,0,0,0,0,0,0,0,0,0,0,0
60,53.44796,3.640615,0,0,0,0,0,0,0.1346817,1.599043,1.48893,0.6798238,0,0,0,0,0,0,0.03782678,0.6687202,2.96271,3.545134,1.810699,2.359723,3.59263,4.052542,0,0,0,0,0,0,0,0,0,0,0,0,0
61,53.47786,3.674046,0,0,0,0,0,0,0.1363475,1.608061,1.491194,0.5975118,0,0,0,0,0,0,0.04372105,0.5864083,2.990374,3.606009,1.811343,2.360337,3.591018,4.052508,0,0,0,0,0,0,0,0,0,0,0,0,0
62,53.52097,3.730655,0,0,0,0,0,0,0.1380321,1.616339,1.495364,0.6156482,0,0,0,0,0,0,0.0441229,0.6045446,2.985543,3.603999,1.812261,2.361109,3.589467,4.052474,0,0,0,0,0,0,0,0,0,0,0,0,0
63,53.51018,3.699892,0,0,0,0,0,0,0.1396989,1.623782,1.492856,0.6325185,0,0,0,0,0,0,0.04451517,0.6214149,2.982554,3.602009,1.812104,2.361246,3.587925,4.052438,0,0,0,0,0,0,0,0,0,0,0,0,0
64,53.51221,3.704171,0,0,0,0,0,0,0.1413381,1.630529,1.493359,0.6474594,0,0,0,0,0,0,0.04489416,0.6363558,2.980421,3.600066,1.812316,2.361578,3.586434,4.052402,0,0,0,0,0,0,0,0,0,0,0,0,0
65,53.51809,3.719061,0,0,0,0,0,0,0.1429799,1.636711,1.494743,0.6589311,0,0,0,0,0,0,0.04526673,0.6478274,2.979816,3.598189,1.812656,2.362004,3.585005,4.052366,0,0,0,0,0,0,0,0,0,0,0,0,0
66,53.5786,3.822697,0,0,0,0,0,0,0.144688,1.642516,1.50308,0.6688593,0,0,0,0,0,0,0.04564704,0.6577557,2.979454,3.596449,1.814072,2.3631,3.583695,4.052327,0,0,0,0,0,0,0,0,0,0,0,0,0
67,53.56012,3.783849,0,0,0,0,0,0,0.14642,1.647571,1.500091,0.6757334,0,0,0,0,0,0,0.04602575,0.6646298,2.981637,3.594738,1.813828,2.363248,3.582399,4.052287,0,0,0,0,0,0,0,0,0,0,0,0,0
68,53.5473,3.766822,0,0,0,0,0,0,0.1480876,1.651509,1.498908,0.6813554,0,0,0,0,0,0,0.04638089,0.6702518,2.984515,3.593039,1.813798,2.36351,3.581131,4.052247,0,0,0,0,0,0,0,0,0,0,0,0,0
69,53.60913,3.877476,0,0,0,0,0,0,0.1497971,1.654665,1.507668,0.6876011,0,0,0,0,0,0,0.04673702,0.6764975,2.985332,3.591464,1.815273,2.36466,3.579981,4.052205,0,0,0,0,0,0,0,0,0,0,0,0,0
70,53.60283,3.858373,0,0,0,0,0,0,0.1515474,1.656757,1.50587,0.6930456,0,0,0,0,0,0,0.0470951,0.681942,2.98709,3.58993,1.81526,2.364935,3.578854,4.052161,0,0,0,0,0,0,0,0,0,0,0,0,0
71,53.65499,3.939451,0,0,0,0,0,0,0.1532927,1.657462,1.511848,0.6983708,0,0,0,0,0,0,0.04744338,0.6872672,2.988121,3.588468,1.816412,2.365876,3.577799,4.052117,0,0,0,0,0,0,0,0,0,0,0,0,0
