Index,1,2,3,4,5,6,7,8,9,
Image,,,,,,,,,,
Name,"PP 11 splines","PP 33 splines","SB rec dev","AM rec dev","BF rec dev","WF rec dev","AH rec dev","SBAH seas","SBAH seas projection",
March,1.049883,1.16052,0.6810819,1.19473,1.378747,0.8787682,0.1564361,1.317058,1,
April,1.047739,1.16052,0.6810819,1.19473,1.378747,0.8787682,0.1564361,2.041149,1,
May,1.04542,1.16052,0.6810819,1.19473,1.378747,0.8787682,0.1564361,3,1,
June,1.042941,1.16052,0.6810819,1.19473,1.378747,0.8787682,0.1564361,3.958851,1,
July,1.04032,1.16052,0.6810819,1.19473,1.378747,0.8787682,0.1564361,4.682942,1,
August,1.037572,1.16052,0.6810819,1.19473,1.378747,0.8787682,0.1564361,4.99499,1,
September,1.034714,1.16052,0.6810819,1.19473,1.378747,0.8787682,0.1564361,4.818595,1,
October,1.03176,1.16052,0.6810819,1.19473,1.378747,0.8787682,0.1564361,4.196944,1,
November,1.028728,1.16052,0.6810819,1.19473,1.378747,0.8787682,0.1564361,3.28224,1,
December,1.025634,1.052405,0.6810819,1.19473,1.378747,0.8787682,0.1564361,2.298434,1,
1996,1.022493,1.052405,0.53526,1.351479,1.021985,1.300663,0.3492857,1.181405,1,
February,1.019321,1.052405,0.53526,1.351479,1.021985,1.300663,0.3492857,1.00501,1,
March,1.016136,1.052405,0.53526,1.351479,1.021985,1.300663,0.3492857,1.317058,1,
April,1.012952,1.052405,0.53526,1.351479,1.021985,1.300663,0.3492857,2.041149,1,
May,1.009787,1.052405,0.53526,1.351479,1.021985,1.300663,0.3492857,3,1,
June,1.006655,1.052405,0.53526,1.351479,1.021985,1.300663,0.3492857,3.958851,1,
July,1.003573,1.052405,0.53526,1.351479,1.021985,1.300663,0.3492857,4.682942,1,
August,1.000558,1.052405,0.53526,1.351479,1.021985,1.300663,0.3492857,4.99499,1,
September,0.9976248,1.052405,0.53526,1.351479,1.021985,1.300663,0.3492857,4.818595,1,
October,0.99479,1.052405,0.53526,1.351479,1.021985,1.300663,0.3492857,4.196944,1,
November,0.9920697,1.052405,0.53526,1.351479,1.021985,1.300663,0.3492857,3.28224,1,
December,0.9894799,0.9175957,0.53526,1.351479,1.021985,1.300663,0.3492857,2.298434,1,
1997,0.9870367,0.9175957,0.4819077,1.366196,0.9816237,1.62512,0.3622162,1.181405,1,
February,0.9847562,0.9175957,0.4819077,1.366196,0.9816237,1.62512,0.3622162,1.00501,1,
March,0.9826546,0.9175957,0.4819077,1.366196,0.9816237,1.62512,0.3622162,1.317058,1,
April,0.9807478,0.9175957,0.4819077,1.366196,0.9816237,1.62512,0.3622162,2.041149,1,
May,0.9790519,0.9175957,0.4819077,1.366196,0.9816237,1.62512,0.3622162,3,1,
June,0.9775832,0.9175957,0.4819077,1.366196,0.9816237,1.62512,0.3622162,3.958851,1,
July,0.9763575,0.9175957,0.4819077,1.366196,0.9816237,1.62512,0.3622162,4.682942,1,
August,0.9753911,0.9175957,0.4819077,1.366196,0.9816237,1.62512,0.3622162,4.99499,1,
September,0.9747,0.9175957,0.4819077,1.366196,0.9816237,1.62512,0.3622162,4.818595,1,
October,0.9742953,0.9175957,0.4819077,1.366196,0.9816237,1.62512,0.3622162,4.196944,1,
November,0.9741683,0.9175957,0.4819077,1.366196,0.9816237,1.62512,0.3622162,3.28224,1,
December,0.9743055,1.227062,0.4819077,1.366196,0.9816237,1.62512,0.3622162,2.298434,1,
1998,0.9746931,1.227062,0.8613945,0.7824083,1.033902,1.825693,0.5599729,1.181405,1,
February,0.9753175,1.227062,0.8613945,0.7824083,1.033902,1.825693,0.5599729,1.00501,1,
March,0.976165,1.227062,0.8613945,0.7824083,1.033902,1.825693,0.5599729,1.317058,1,
April,0.977222,1.227062,0.8613945,0.7824083,1.033902,1.825693,0.5599729,2.041149,1,
May,0.9784749,1.227062,0.8613945,0.7824083,1.033902,1.825693,0.5599729,3,1,
June,0.9799099,1.227062,0.8613945,0.7824083,1.033902,1.825693,0.5599729,3.958851,1,
July,0.9815135,1.227062,0.8613945,0.7824083,1.033902,1.825693,0.5599729,4.682942,1,
August,0.983272,1.227062,0.8613945,0.7824083,1.033902,1.825693,0.5599729,4.99499,1,
September,0.9851717,1.227062,0.8613945,0.7824083,1.033902,1.825693,0.5599729,4.818595,1,
October,0.987199,1.227062,0.8613945,0.7824083,1.033902,1.825693,0.5599729,4.196944,1,
November,0.9893402,1.227062,0.8613945,0.7824083,1.033902,1.825693,0.5599729,3.28224,1,
December,0.9915817,1.06423,0.8613945,0.7824083,1.033902,1.825693,0.5599729,2.298434,1,
1999,0.9939099,1.06423,0.8303792,1.059486,0.6460264,1.060242,0.2253867,1.181405,1,
February,0.9963111,1.06423,0.8303792,1.059486,0.6460264,1.060242,0.2253867,1.00501,1,
March,0.9987715,1.06423,0.8303792,1.059486,0.6460264,1.060242,0.2253867,1.317058,1,
April,1.001278,1.06423,0.8303792,1.059486,0.6460264,1.060242,0.2253867,2.041149,1,
May,1.003816,1.06423,0.8303792,1.059486,0.6460264,1.060242,0.2253867,3,1,
June,1.006373,1.06423,0.8303792,1.059486,0.6460264,1.060242,0.2253867,3.958851,1,
July,1.008934,1.06423,0.8303792,1.059486,0.6460264,1.060242,0.2253867,4.682942,1,
August,1.011486,1.06423,0.8303792,1.059486,0.6460264,1.060242,0.2253867,4.99499,1,
September,1.014016,1.06423,0.8303792,1.059486,0.6460264,1.060242,0.2253867,4.818595,1,
October,1.01651,1.06423,0.8303792,1.059486,0.6460264,1.060242,0.2253867,4.196944,1,
November,1.018954,1.06423,0.8303792,1.059486,0.6460264,1.060242,0.2253867,3.28224,1,
December,1.021334,1.042814,0.8303792,1.059486,0.6460264,1.060242,0.2253867,2.298434,1,
2000,1.023637,1.042814,0.9783452,1.513682,1.203667,2.684792,0.8512014,1.181405,1,
February,1.025849,1.042814,0.9783452,1.513682,1.203667,2.684792,0.8512014,1.00501,1,
March,1.027957,1.042814,0.9783452,1.513682,1.203667,2.684792,0.8512014,1.317058,1,
April,1.029947,1.042814,0.9783452,1.513682,1.203667,2.684792,0.8512014,2.041149,1,
May,1.031805,1.042814,0.9783452,1.513682,1.203667,2.684792,0.8512014,3,1,
June,1.033517,1.042814,0.9783452,1.513682,1.203667,2.684792,0.8512014,3.958851,1,
July,1.035071,1.042814,0.9783452,1.513682,1.203667,2.684792,0.8512014,4.682942,1,
August,1.036452,1.042814,0.9783452,1.513682,1.203667,2.684792,0.8512014,4.99499,1,
September,1.037646,1.042814,0.9783452,1.513682,1.203667,2.684792,0.8512014,4.818595,1,
October,1.03864,1.042814,0.9783452,1.513682,1.203667,2.684792,0.8512014,4.196944,1,
November,1.039421,1.042814,0.9783452,1.513682,1.203667,2.684792,0.8512014,3.28224,1,
December,1.039978,1.128628,0.9783452,1.513682,1.203667,2.684792,0.8512014,2.298434,1,
2001,1.040317,1.128628,0.6356401,1.086093,0.7983407,1.476994,0.8492361,1.181405,1,
February,1.040445,1.128628,0.6356401,1.086093,0.7983407,1.476994,0.8492361,1.00501,1,
March,1.040373,1.128628,0.6356401,1.086093,0.7983407,1.476994,0.8492361,1.317058,1,
April,1.040108,1.128628,0.6356401,1.086093,0.7983407,1.476994,0.8492361,2.041149,1,
May,1.039659,1.128628,0.6356401,1.086093,0.7983407,1.476994,0.8492361,3,1,
June,1.039036,1.128628,0.6356401,1.086093,0.7983407,1.476994,0.8492361,3.958851,1,
July,1.038246,1.128628,0.6356401,1.086093,0.7983407,1.476994,0.8492361,4.682942,1,
August,1.037299,1.128628,0.6356401,1.086093,0.7983407,1.476994,0.8492361,4.99499,1,
September,1.036204,1.128628,0.6356401,1.086093,0.7983407,1.476994,0.8492361,4.818595,1,
October,1.034968,1.128628,0.6356401,1.086093,0.7983407,1.476994,0.8492361,4.196944,1,
November,1.033601,1.128628,0.6356401,1.086093,0.7983407,1.476994,0.8492361,3.28224,1,
December,1.032111,1.09214,0.6356401,1.086093,0.7983407,1.476994,0.8492361,2.298434,1,
2002,1.030508,1.09214,0.5530523,1.007096,0.9982512,0.9990114,0.3784961,1.181405,1,
February,1.028799,1.09214,0.5530523,1.007096,0.9982512,0.9990114,0.3784961,1.00501,1,
March,1.026995,1.09214,0.5530523,1.007096,0.9982512,0.9990114,0.3784961,1.317058,1,
April,1.025102,1.09214,0.5530523,1.007096,0.9982512,0.9990114,0.3784961,2.041149,1,
May,1.023131,1.09214,0.5530523,1.007096,0.9982512,0.9990114,0.3784961,3,1,
June,1.02109,1.09214,0.5530523,1.007096,0.9982512,0.9990114,0.3784961,3.958851,1,
July,1.018987,1.09214,0.5530523,1.007096,0.9982512,0.9990114,0.3784961,4.682942,1,
August,1.016831,1.09214,0.5530523,1.007096,0.9982512,0.9990114,0.3784961,4.99499,1,
September,1.014632,1.09214,0.5530523,1.007096,0.9982512,0.9990114,0.3784961,4.818595,1,
October,1.012398,1.09214,0.5530523,1.007096,0.9982512,0.9990114,0.3784961,4.196944,1,
November,1.010136,1.09214,0.5530523,1.007096,0.9982512,0.9990114,0.3784961,3.28224,1,
December,1.007858,1.007254,0.5530523,1.007096,0.9982512,0.9990114,0.3784961,2.298434,1,
2003,1.00557,1.007254,0.8984513,1.238814,0.6890595,0.7678187,0.3186341,1.181405,1,
February,1.003282,1.007254,0.8984513,1.238814,0.6890595,0.7678187,0.3186341,1.00501,1,
March,1.001002,1.007254,0.8984513,1.238814,0.6890595,0.7678187,0.3186341,1.317058,1,
April,0.9987399,1.007254,0.8984513,1.238814,0.6890595,0.7678187,0.3186341,2.041149,1,
May,0.9965035,1.007254,0.8984513,1.238814,0.6890595,0.7678187,0.3186341,3,1,
June,0.9943017,1.007254,0.8984513,1.238814,0.6890595,0.7678187,0.3186341,3.958851,1,
July,0.9921433,1.007254,0.8984513,1.238814,0.6890595,0.7678187,0.3186341,4.682942,1,
August,0.990037,1.007254,0.8984513,1.238814,0.6890595,0.7678187,0.3186341,4.99499,1,
September,0.9879916,1.007254,0.8984513,1.238814,0.6890595,0.7678187,0.3186341,4.818595,1,
October,0.9860157,1.007254,0.8984513,1.238814,0.6890595,0.7678187,0.3186341,4.196944,1,
November,0.9841182,1.007254,0.8984513,1.238814,0.6890595,0.7678187,0.3186341,3.28224,1,
December,0.9823077,1.25093,0.8984513,1.238814,0.6890595,0.7678187,0.3186341,2.298434,1,
2004,0.9805931,1.25093,0.39804,1.320208,1.142081,1.378138,0.6049584,1.181405,1,
February,0.9789829,1.25093,0.39804,1.320208,1.142081,1.378138,0.6049584,1.00501,1,
March,0.9774842,1.25093,0.39804,1.320208,1.142081,1.378138,0.6049584,1.317058,1,
April,0.9760963,1.25093,0.39804,1.320208,1.142081,1.378138,0.6049584,2.041149,1,
May,0.974817,1.25093,0.39804,1.320208,1.142081,1.378138,0.6049584,3,1,
June,0.9736439,1.25093,0.39804,1.320208,1.142081,1.378138,0.6049584,3.958851,1,
July,0.9725746,1.25093,0.39804,1.320208,1.142081,1.378138,0.6049584,4.682942,1,
August,0.9716068,1.25093,0.39804,1.320208,1.142081,1.378138,0.6049584,4.99499,1,
September,0.9707381,1.25093,0.39804,1.320208,1.142081,1.378138,0.6049584,4.818595,1,
October,0.9699662,1.25093,0.39804,1.320208,1.142081,1.378138,0.6049584,4.196944,1,
