EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/6/2022 12:51:11 PM"
ModelName,"NWACS AM 7ages base run"
EcosimScenario,precipitation_pp_amo_am
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Timestep,"catch (predicted)SDF landings","catch (observed) SDF landings","catch (predicted)SB 2-5 C","catch (observed) SB 2-5 C","catch (predicted)SB adult C","catch (observed) SB adult C","catch (predicted)AM adult C 1","catch (observed) AM adult C 1","catch (predicted)AM adult C 2","catch (observed) AM adult C 2","catch (predicted)AM adult C 3","catch (observed) AM adult C 3","catch (predicted)AM adult C 4","catch (observed) AM adult C 4","catch (predicted)AM adult C 5","catch (observed) AM adult C 5","catch (predicted)AM adult C 6","catch (observed) AM adult C 6","catch (predicted)BF adult C","catch (observed) BF adult C","catch (predicted)WF juv C","catch (observed) WF juv C","catch (predicted)WF adult C","catch (observed) WF adult C","catch (predicted)AH adult landings","catch (observed) AH adult landings","catch (predicted)AM juv C","catch (observed) AM juv C","catch (predicted)BF juv C","catch (observed) BF juv C","catch (predicted)AH juv landings","catch (observed) AH juv landings",
36,0.003482574,,0.01332577,,0.03469414,,0.1362521,,0.3864277,,0.1638304,,0.03905598,,0.01020064,,0.003466955,,0.6331697,,0.0005482173,,0.04914555,,0.2405102,,0.005200071,,0.03368273,,0.02146506,,
37,0.004168644,,0.00739788,,0.1001774,,0.1759194,,0.5417845,,0.1931622,,0.04693288,,0.01143842,,0.003833552,,0.6550097,,0.0006998313,,0.1051412,,0.2944737,,0.007467646,,0.01184536,,0.002751895,,
38,0.004164989,,0.007869087,,0.109839,,0.1789716,,0.5629145,,0.1794487,,0.04613775,,0.01123618,,0.003753826,,0.6970044,,0.0007497802,,0.110009,,0.3051899,,0.007125998,,0.01536932,,0.003032783,,
39,0.004163854,,0.008306628,,0.1189584,,0.1807287,,0.5807623,,0.164404,,0.04514808,,0.01101708,,0.003669736,,0.735086,,0.0007884925,,0.1142685,,0.3158032,,0.006326239,,0.01971867,,0.003355771,,
40,0.004160766,,0.008705745,,0.1272976,,0.1820514,,0.5871801,,0.1481235,,0.04398774,,0.0107635,,0.003576126,,0.7685099,,0.0008108703,,0.1177401,,0.3255526,,0.00549888,,0.02490879,,0.003653948,,
41,0.004158209,,0.009077156,,0.1349093,,0.1874693,,0.5966326,,0.1340459,,0.0433387,,0.01060636,,0.003511001,,0.7985786,,0.0008169824,,0.1206497,,0.3373625,,0.004978055,,0.03094389,,0.003990305,,
42,0.004157972,0.00411,0.009402957,0.000479,0.1414391,0.00103,0.186509,0.03513732,0.590151,0.1496791,0.1203728,0.1119206,0.04206765,0.04151691,0.01034514,0.007461612,0.003414987,0.001414162,0.8235758,0.0855,0.0008011028,2.61E-05,0.1225189,0.00469,0.3474307,0.0827,0.004263808,0.00239898,0.03757417,0.03873539,0.004258205,0.06918684,
43,0.004154944,,0.009719699,,0.1474191,,0.1941019,,0.6119846,,0.1161192,,0.04167018,,0.01039022,,0.00340675,,0.8481998,,0.000776207,,0.1241758,,0.3644575,,0.004389939,,0.04490562,,0.004700278,,
44,0.004164605,,0.01004895,,0.1531249,,0.1985874,,0.6317077,,0.1182629,,0.04116572,,0.01048012,,0.003409783,,0.874153,,0.0007472994,,0.1257627,,0.3876086,,0.004500089,,0.05290513,,0.005327975,,
45,0.004165006,,0.01037626,,0.1583542,,0.1978543,,0.6359065,,0.1230187,,0.04029301,,0.01048225,,0.003385621,,0.9007184,,0.0007094424,,0.126899,,0.409858,,0.004185276,,0.06113495,,0.005725474,,
46,0.004161872,,0.01068671,,0.1627764,,0.1931759,,0.6256092,,0.1275904,,0.03923508,,0.010399,,0.003335006,,0.9259648,,0.0006569714,,0.127076,,0.4288734,,0.003773228,,0.06862128,,0.005837935,,
47,0.004161325,,0.01101933,,0.1669171,,0.199674,,0.6434405,,0.1484646,,0.03895812,,0.01067076,,0.003381047,,0.9543349,,0.000600701,,0.1271862,,0.4586873,,0.004083216,,0.07486805,,0.0061432,,
48,0.004171212,,0.01137258,,0.17066,,0.201568,,0.6379596,,0.1701159,,0.03781974,,0.01080695,,0.003385518,,0.984845,,0.0005381608,,0.1268496,,0.48971,,0.003874245,,0.0786586,,0.006390581,,
49,0.005401865,,0.006408128,,0.04480168,,0.1856788,,0.6515692,,0.223207,,0.04698954,,0.01573673,,0.004854678,,0.5424451,,0.0005555174,,0.09603318,,0.4448273,,0.003154723,,0.1030379,,0.002412697,,
50,0.005394165,,0.006620631,,0.04575927,,0.1774293,,0.6489241,,0.2305653,,0.04355773,,0.01538058,,0.004741633,,0.5676528,,0.0004805533,,0.0947537,,0.459728,,0.003269895,,0.1027795,,0.002319146,,
51,0.005389868,,0.006846276,,0.04643737,,0.1701394,,0.6588391,,0.2391603,,0.04028992,,0.01510925,,0.004661683,,0.5883234,,0.000416169,,0.09250096,,0.4743995,,0.002809429,,0.1007822,,0.002283491,,
52,0.005391467,,0.007105798,,0.04690981,,0.1654135,,0.6881173,,0.2491698,,0.03740413,,0.01503248,,0.004636542,,0.6053805,,0.0003691241,,0.08973459,,0.4941702,,0.002755975,,0.09771,,0.002373779,,
53,0.005399565,,0.007435698,,0.0473646,,0.1716672,,0.7696891,,0.2692057,,0.0360727,,0.01559082,,0.004777543,,0.6218278,,0.0003493907,,0.08742378,,0.5337919,,0.003209477,,0.09475801,,0.002710416,,
54,0.00542173,0.00533,0.007876185,0.000574,0.04802369,0.00197,0.1840419,0.0847539,0.8725125,0.1286274,0.2973451,0.07458661,0.03592983,0.03909473,0.01651968,0.01742983,0.005035177,0.002986915,0.6407201,0.0403,0.000362195,8.06E-05,0.08633341,0.00273,0.5964861,0.0979,0.003732269,0.002102231,0.0931222,0.08569776,0.003257557,0.03220217,
55,0.005442146,,0.008461087,,0.04907136,,0.1982378,,0.9732096,,0.328418,,0.03694916,,0.01740417,,0.005342777,,0.6644509,,0.0004081733,,0.08687276,,0.6750535,,0.003958166,,0.09343735,,0.003773376,,
