EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:28:30 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Timestep,"catch (predicted)SDF landings","catch (observed) SDF landings","catch (predicted)SB 2-5 C","catch (observed) SB 2-5 C","catch (predicted)SB adult C","catch (observed) SB adult C","catch (predicted)AM adult C","catch (observed) AM adult C","catch (predicted)BF adult C","catch (observed) BF adult C","catch (predicted)WF juv C","catch (observed) WF juv C","catch (predicted)WF adult C","catch (observed) WF adult C","catch (predicted)AH adult landings","catch (observed) AH adult landings","catch (predicted)AM juv C","catch (observed) AM juv C","catch (predicted)BF juv C","catch (observed) BF juv C","catch (predicted)AH juv landings","catch (observed) AH juv landings",
62,0.01657381,,0.0005143458,,0.001088876,,0.4279709,,0.04284296,,9.517712E-05,,0.002247362,,0.0836432,,0.0009614401,,0.001013812,,0.0002008375,,
63,0.01657533,,0.0005198909,,0.001111641,,0.4284782,,0.04320496,,9.438263E-05,,0.002272256,,0.08552221,,0.0009638122,,0.001040894,,0.0002038469,,
64,0.01657684,,0.0005253951,,0.001134957,,0.4290488,,0.04356185,,9.357211E-05,,0.002293379,,0.08739177,,0.0009653058,,0.001066938,,0.0002069866,,
65,0.01657834,,0.0005308572,,0.001158825,,0.429658,,0.04391281,,9.276623E-05,,0.002310989,,0.08924928,,0.0009659744,,0.001091687,,0.0002102529,,
66,0.01657983,0.0166,0.0005362764,0.0011,0.001183244,0.00339,0.4302853,0.424,0.04425733,0.0452,9.199404E-05,6.59E-05,0.002325304,0.0014,0.09109233,0.0934,0.0009658554,0.001296685,0.001114571,0.001461218,0.0002136471,0.0005837333,
67,0.01658131,,0.0005416516,,0.001208209,,0.4309132,,0.04459514,,9.129023E-05,,0.002336513,,0.09291876,,0.0009649786,,0.001134774,,0.0002171754,,
68,0.01658277,,0.000546982,,0.001233717,,0.4315268,,0.04492599,,9.069145E-05,,0.002344783,,0.09472663,,0.0009633735,,0.001151426,,0.0002208474,,
69,0.01658422,,0.0005522672,,0.001259762,,0.4321132,,0.04524968,,9.023265E-05,,0.00235026,,0.09651414,,0.0009610684,,0.001163616,,0.0002246762,,
70,0.01658565,,0.0005575065,,0.001286339,,0.432662,,0.04556626,,8.994335E-05,,0.002353081,,0.09827971,,0.0009580934,,0.001170221,,0.0002286764,,
71,0.01658707,,0.0005626995,,0.001313439,,0.4331644,,0.04587564,,8.984458E-05,,0.002353373,,0.1000218,,0.0009544814,,0.001170321,,0.0002328642,,
72,0.01658847,,0.0005678457,,0.001341057,,0.4336134,,0.0461778,,8.994635E-05,,0.002351258,,0.1017392,,0.0009502696,,0.001163036,,0.0002372557,,
73,0.01380293,,0.000791398,,0.001687446,,0.3610762,,0.04939676,,3.446381E-05,,0.003946125,,0.09463734,,0.001020964,,0.0021476,,0.000103295,,
74,0.01380405,,0.0007987556,,0.001722157,,0.3621912,,0.04954767,,3.444995E-05,,0.003899892,,0.09630966,,0.001016353,,0.002057202,,0.0001051942,,
75,0.01380515,,0.0008063449,,0.001757628,,0.3631462,,0.04968171,,3.436383E-05,,0.003856225,,0.09796522,,0.001011746,,0.001976299,,0.0001070755,,
76,0.01380623,,0.0008141579,,0.001793856,,0.3639533,,0.04979979,,3.422104E-05,,0.003814613,,0.09960362,,0.001007212,,0.001904021,,0.0001089359,,
77,0.01380729,,0.0008221876,,0.001830836,,0.3646225,,0.0499026,,3.402902E-05,,0.003774644,,0.1012245,,0.001002839,,0.001839803,,0.0001107735,,
78,0.01380832,0.0138,0.0008304269,0.00164,0.001868568,0.00502,0.3651626,0.401,0.04999068,0.0404,3.379056E-05,6.67E-05,0.003735989,0.00286,0.1028273,0.104,0.0009987322,0.002064459,0.001783393,0.001417923,0.0001125879,0.0002177888,
79,0.01380934,,0.0008388692,,0.001907053,,0.3655814,,0.05006442,,3.350615E-05,,0.003698382,,0.1044118,,0.0009949967,,0.001734829,,0.0001143801,,
80,0.01381033,,0.0008475085,,0.001946293,,0.3658867,,0.05012418,,3.317546E-05,,0.003661615,,0.1059775,,0.0009917294,,0.001694328,,0.0001161521,,
81,0.01381131,,0.0008563391,,0.001986289,,0.3660862,,0.05017027,,3.279811E-05,,0.003625533,,0.1075237,,0.0009890109,,0.001662165,,0.0001179065,,
82,0.01381226,,0.0008653555,,0.002027047,,0.3661878,,0.05020298,,3.237403E-05,,0.003590028,,0.1090501,,0.0009869018,,0.001638622,,0.0001196465,,
83,0.01381318,,0.0008745519,,0.002068571,,0.3661998,,0.05022262,,3.19033E-05,,0.003555039,,0.110556,,0.00098544,,0.001623934,,0.0001213757,,
84,0.01381409,,0.0008839236,,0.002110863,,0.3661305,,0.05022945,,3.138574E-05,,0.003520555,,0.1120408,,0.000984641,,0.001618241,,0.0001230976,,
85,0.01799752,,0.000931341,,0.002765663,,0.2229458,,0.04836799,,1.599026E-05,,0.003293689,,0.1166426,,0.0005647442,,0.001196009,,2.753766E-05,,
86,0.01799885,,0.0009415114,,0.002820516,,0.223932,,0.04844581,,1.579803E-05,,0.003265,,0.1180782,,0.0005644207,,0.001215842,,2.790926E-05,,
87,0.01800014,,0.0009518947,,0.002876614,,0.2248001,,0.04851754,,1.561896E-05,,0.003235642,,0.1194932,,0.0005641907,,0.001233399,,2.827323E-05,,
88,0.01800141,,0.0009624838,,0.002933927,,0.225564,,0.04858293,,1.544974E-05,,0.003205759,,0.1208871,,0.0005641084,,0.001248692,,2.862943E-05,,
89,0.01800265,,0.000973272,,0.002992428,,0.2262356,,0.04864186,,1.528781E-05,,0.003175487,,0.1222594,,0.0005642396,,0.001261684,,2.897765E-05,,
