EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/2/2022 5:28:30 PM"
ModelName,"NWACS MICE 5 v2-1-6"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"ts1 tc recommended indices"
StartYear,1985

Timestep,"biomass (predicted) SB juv comp YOY","biomass (observed) SB juv comp YOY","biomass (predicted) SB 2-5 MRIP CPUE","biomass (observed) SB 2-5 MRIP CPUE","biomass (predicted) SB 2-5 CT LISTS","biomass (observed) SB 2-5 CT LISTS","biomass (predicted) SB adult MRIP CPUE","biomass (observed) SB adult MRIP CPUE","biomass (predicted) SB adult CT LISTS","biomass (observed) SB adult CT LISTS","biomass (predicted) AM juv jai","biomass (observed) AM juv jai","biomass (predicted) AM adult nad","biomass (observed) AM adult nad","biomass (predicted) AM adult mad","biomass (observed) AM adult mad","biomass (predicted) AM adult sad","biomass (observed) AM adult sad","biomass (predicted) SDF biomass","biomass (observed) SDF biomass","biomass (predicted) BF juv comp YOY","biomass (observed) BF juv comp YOY","biomass (predicted) BF adult MRIP CPUE","biomass (observed) BF adult MRIP CPUE","biomass (predicted) BF adult NC PSIGNS","biomass (observed) BF adult NC PSIGNS","biomass (predicted) WF juv comp yoy","biomass (observed) WF juv comp yoy","biomass (predicted) WF adult MRIP","biomass (observed) WF adult MRIP","biomass (predicted) WF adult DE trawl","biomass (observed) WF adult DE trawl","biomass (predicted) AH adult NEFSC-A","biomass (observed) AH adult NEFSC-A","biomass (predicted) AH adult NEFSC-B","biomass (observed) AH adult NEFSC-B",
32,0.01183253,,0.0419619,,0.0419619,,0.02807063,,0.02807063,,0.3167457,,2.083147,,2.083147,,2.083147,,0.2766246,,0.001094429,,0.08925183,,0.08925183,,0.001261969,,0.0127495,,0.0127495,,0.2390807,,0.2390807,,
33,0.01201777,,0.04222935,,0.04222935,,0.0285466,,0.0285466,,0.3156848,,2.084258,,2.084258,,2.084258,,0.2769328,,0.001064631,,0.08723862,,0.08723862,,0.001265984,,0.01279031,,0.01279031,,0.2436777,,0.2436777,,
34,0.0122115,,0.04249796,,0.04249796,,0.02902385,,0.02902385,,0.3145221,,2.085235,,2.085235,,2.085235,,0.2772481,,0.001049504,,0.08536077,,0.08536077,,0.00127061,,0.01283034,,0.01283034,,0.2481584,,0.2481584,,
35,0.01241408,,0.042768,,0.042768,,0.02950227,,0.02950227,,0.3132812,,2.086067,,2.086067,,2.086067,,0.2775707,,0.001048071,,0.08360661,,0.08360661,,0.00127588,,0.01286966,,0.01286966,,0.2525094,,0.2525094,,
36,0.01262591,,0.04303972,,0.04303972,,0.02998175,,0.02998175,,0.3119901,,2.086756,,2.086756,,2.086756,,0.2779006,,0.001059259,,0.08196522,,0.08196522,,0.001281833,,0.0129083,,0.0129083,,0.2567187,,0.2567187,,
37,0.01284411,,0.04342926,,0.04342926,,0.03019437,,0.03019437,,0.311077,,2.079056,,2.079056,,2.079056,,0.2781814,,0.001248248,,0.08065835,,0.08065835,,0.001286317,,0.01265692,,0.01265692,,0.2599483,,0.2599483,,
38,0.01306848,,0.04381341,,0.04381341,,0.03040376,,0.03040376,,0.3105392,,2.071737,,2.071737,,2.071737,,0.2784699,,0.001452452,,0.07946751,,0.07946751,,0.001290029,,0.01244102,,0.01244102,,0.263229,,0.263229,,
39,0.01329905,,0.04419357,,0.04419357,,0.03061156,,0.03061156,,0.3103496,,2.064781,,2.064781,,2.064781,,0.2787665,,0.001668324,,0.07838966,,0.07838966,,0.00129302,,0.01225497,,0.01225497,,0.2665876,,0.2665876,,
40,0.01353572,,0.04457102,,0.04457102,,0.03081831,,0.03081831,,0.3104787,,2.058179,,2.058179,,2.058179,,0.2790716,,0.001891408,,0.077423,,0.077423,,0.001295189,,0.01209406,,0.01209406,,0.2700531,,0.2700531,,
41,0.01377825,,0.04494693,,0.04494693,,0.03102456,,0.03102456,,0.3108768,,2.05195,,2.05195,,2.05195,,0.2793853,,0.002115994,,0.07656654,,0.07656654,,0.001296322,,0.01195436,,0.01195436,,0.2736556,,0.2736556,,
42,0.01402626,0.06770532,0.04532231,0.02875803,0.04532231,0.009157158,0.03123083,0.02779452,0.03123083,0.01032217,0.3114515,0.9833816,2.046157,,2.046157,4.518822,2.046157,,0.2797081,0.414122,0.002334734,0.002833864,0.07582041,0.09017673,0.07582041,,0.001296118,0.0006299681,0.01183258,0.01544162,0.01183258,,0.2774252,0.2857921,0.2774252,,
43,0.0142792,,0.04569805,,0.04569805,,0.03143762,,0.03143762,,0.3121681,,2.040804,,2.040804,,2.040804,,0.2800401,,0.002538828,,0.07518559,,0.07518559,,0.001294221,,0.01172598,,0.01172598,,0.2813914,,0.2813914,,
44,0.0145364,,0.04607494,,0.04607494,,0.03164542,,0.03164542,,0.3129931,,2.035901,,2.035901,,2.035901,,0.2803817,,0.002717956,,0.07466406,,0.07466406,,0.001290253,,0.01163225,,0.01163225,,0.2855827,,0.2855827,,
45,0.01479712,,0.04645373,,0.04645373,,0.03185472,,0.03185472,,0.3138959,,2.03146,,2.03146,,2.03146,,0.2807329,,0.002860005,,0.07425917,,0.07425917,,0.001283833,,0.0115495,,0.0115495,,0.2900261,,0.2900261,,
46,0.01506049,,0.04683509,,0.04683509,,0.032066,,0.032066,,0.3148494,,2.027491,,2.027491,,2.027491,,0.281094,,0.002951728,,0.07397494,,0.07397494,,0.001274602,,0.01147618,,0.01147618,,0.2947471,,0.2947471,,
47,0.0153256,,0.04721969,,0.04721969,,0.03227979,,0.03227979,,0.3158295,,2.024005,,2.024005,,2.024005,,0.2814647,,0.002978884,,0.0738159,,0.0738159,,0.001262236,,0.01141102,,0.01141102,,0.2997691,,0.2997691,,
48,0.01559152,,0.04760813,,0.04760813,,0.03249659,,0.03249659,,0.3168143,,2.021013,,2.021013,,2.021013,,0.2818451,,0.002926014,,0.07378729,,0.07378729,,0.001246452,,0.01135303,,0.01135303,,0.3051135,,0.3051135,,
49,0.01585073,,0.04807227,,0.04807227,,0.03307423,,0.03307423,,0.3180545,,2.031799,,2.031799,,2.031799,,0.2821352,,0.002828916,,0.07604713,,0.07604713,,0.001233984,,0.01141691,,0.01141691,,0.311694,,0.311694,,
50,0.01610193,,0.04854556,,0.04854556,,0.03367128,,0.03367128,,0.3194738,,2.041512,,2.041512,,2.041512,,0.2824386,,0.002736764,,0.07823296,,0.07823296,,0.00122341,,0.01146613,,0.01146613,,0.3184191,,0.3184191,,
51,0.0163434,,0.04902793,,0.04902793,,0.03428442,,0.03428442,,0.3210205,,2.050396,,2.050396,,2.050396,,0.2827556,,0.002649143,,0.08033678,,0.08033678,,0.001214024,,0.0115027,,0.0115027,,0.3252748,,0.3252748,,
52,0.01657401,,0.04951933,,0.04951933,,0.03491358,,0.03491358,,0.3226556,,2.05865,,2.05865,,2.05865,,0.2830862,,0.002565847,,0.08236113,,0.08236113,,0.001205474,,0.01152827,,0.01152827,,0.3322441,,0.3322441,,
53,0.01679314,,0.0500197,,0.0500197,,0.03555876,,0.03555876,,0.3243541,,2.066425,,2.066425,,2.066425,,0.2834304,,0.002487267,,0.08430769,,0.08430769,,0.00119762,,0.01154419,,0.01154419,,0.3393085,,0.3393085,,
54,0.01700063,0.03458105,0.05052896,0.02588521,0.05052896,0.01258561,0.03621997,0.02667078,0.03621997,0.01704212,0.3261011,0.6920093,2.07384,,2.07384,2.915369,2.07384,,0.2837882,0.2711903,0.002414302,0.004875318,0.08617753,0.1219984,0.08617753,,0.001190446,0.0005367141,0.01155159,0.00700812,0.01155159,,0.3464489,0.3646951,0.3464489,,
55,0.01719671,,0.05104704,,0.05104704,,0.03689728,,0.03689728,,0.3278892,,2.080976,,2.080976,,2.080976,,0.2841598,,0.002348409,,0.08797116,,0.08797116,,0.001184,,0.01155144,,0.01155144,,0.3536458,,0.3536458,,
56,0.01738197,,0.05157383,,0.05157383,,0.03759073,,0.03759073,,0.3297158,,2.08789,,2.08789,,2.08789,,0.284545,,0.002291178,,0.0896891,,0.0896891,,0.001178361,,0.01154453,,0.01154453,,0.3608799,,0.3608799,,
57,0.01755723,,0.05210923,,0.05210923,,0.03830041,,0.03830041,,0.3315808,,2.094614,,2.094614,,2.094614,,0.2849439,,0.002244608,,0.09133153,,0.09133153,,0.001173612,,0.0115315,,0.0115315,,0.3681323,,0.3681323,,
58,0.01772358,,0.05265308,,0.05265308,,0.03902636,,0.03902636,,0.3334857,,2.101161,,2.101161,,2.101161,,0.2853563,,0.002210887,,0.09289857,,0.09289857,,0.001169837,,0.01151287,,0.01151287,,0.375385,,0.375385,,
59,0.01788233,,0.05320517,,0.05320517,,0.03976862,,0.03976862,,0.3354332,,2.107528,,2.107528,,2.107528,,0.2857823,,0.002192316,,0.0943902,,0.0943902,,0.001167112,,0.01148902,,0.01148902,,0.3826212,,0.3826212,,
60,0.01803493,,0.05376527,,0.05376527,,0.04052716,,0.04052716,,0.3374267,,2.113695,,2.113695,,2.113695,,0.2862218,,0.002191207,,0.09580639,,0.09580639,,0.001165526,,0.01146018,,0.01146018,,0.3898253,,0.3898253,,
61,0.01819612,,0.05436621,,0.05436621,,0.04136605,,0.04136605,,0.3389932,,2.115105,,2.115105,,2.115105,,0.2857439,,0.002258203,,0.09664717,,0.09664717,,0.001156602,,0.01163534,,0.01163534,,0.3990442,,0.3990442,,
62,0.01836751,,0.05496307,,0.05496307,,0.04222753,,0.04222753,,0.3401729,,2.117155,,2.117155,,2.117155,,0.285293,,0.002322603,,0.09747983,,0.09747983,,0.001147346,,0.01178727,,0.01178727,,0.4082472,,0.4082472,,
63,0.01855126,,0.05555562,,0.05555562,,0.04311035,,0.04311035,,0.3410122,,2.119665,,2.119665,,2.119665,,0.2848689,,0.002384648,,0.09830348,,0.09830348,,0.001137769,,0.01191784,,0.01191784,,0.4174183,,0.4174183,,
64,0.01874939,,0.0561438,,0.0561438,,0.04401458,,0.04401458,,0.3415406,,2.122488,,2.122488,,2.122488,,0.2844714,,0.002444313,,0.09911551,,0.09911551,,0.001127998,,0.01202863,,0.01202863,,0.4265433,,0.4265433,,
65,0.01896387,,0.05672748,,0.05672748,,0.04494021,,0.04494021,,0.3417772,,2.125501,,2.125501,,2.125501,,0.2841002,,0.002501012,,0.09991404,,0.09991404,,0.001118283,,0.01212099,,0.01212099,,0.4356095,,0.4356095,,
66,0.01919659,0.0368077,0.05730658,0.02807981,0.05730658,0.04019161,0.04588718,0.04197278,0.04588718,0.04607774,0.3417351,0.4006369,2.128605,2.823403,2.128605,2.283706,2.128605,10.66003,0.283755,0.5491034,0.002553439,0.002963772,0.1006979,0.1134631,0.1006979,,0.001108975,0.0005347014,0.01219608,0.006493399,0.01219608,,0.4446051,0.3592566,0.4446051,,
67,0.01944934,,0.05788097,,0.05788097,,0.04685536,,0.04685536,,0.3414249,,2.131711,,2.131711,,2.131711,,0.2834354,,0.002599724,,0.1014665,,0.1014665,,0.00110049,,0.01225487,,0.01225487,,0.4535196,,0.4535196,,
68,0.01972383,,0.05845058,,0.05845058,,0.04784458,,0.04784458,,0.3408569,,2.134746,,2.134746,,2.134746,,0.2831412,,0.002637871,,0.1022193,,0.1022193,,0.001093272,,0.01229824,,0.01229824,,0.4623434,,0.4623434,,
69,0.02002161,,0.05901536,,0.05901536,,0.04885464,,0.04885464,,0.3400414,,2.137647,,2.137647,,2.137647,,0.282872,,0.0026658,,0.1029558,,0.1029558,,0.001087741,,0.01232697,,0.01232697,,0.471068,,0.471068,,
70,0.02034419,,0.05957523,,0.05957523,,0.04988529,,0.04988529,,0.3389888,,2.140362,,2.140362,,2.140362,,0.2826275,,0.002680931,,0.1036761,,0.1036761,,0.001084254,,0.01234177,,0.01234177,,0.4796853,,0.4796853,,
