0,1,2,3,4,5,6
1.73,1.26,0.99,0.86,0.79,0.74,0.71
1.74,1.3,1.04,0.92,0.85,0.8,0.77
1.74,1.26,0.99,0.86,0.79,0.74,0.71
1.72,1.29,1.04,0.92,0.85,0.81,0.78
1.74,1.32,1.07,0.95,0.88,0.84,0.81
1.67,1.27,1.04,0.92,0.86,0.81,0.79
1.76,1.33,1.08,0.96,0.88,0.84,0.81
1.76,1.33,1.08,0.96,0.88,0.84,0.81
1.82,1.35,1.08,0.95,0.88,0.83,0.8
1.54,1.2,1,0.89,0.83,0.8,0.77
1.69,1.26,1.01,0.89,0.82,0.78,0.75
1.73,1.24,0.97,0.84,0.76,0.72,0.69
1.67,1.27,1.03,0.92,0.85,0.81,0.78
1.76,1.31,1.04,0.92,0.84,0.8,0.77
1.79,1.35,1.09,0.96,0.89,0.84,0.81
1.78,1.35,1.11,0.98,0.91,0.87,0.84
1.78,1.35,1.11,0.98,0.91,0.87,0.84
1.8,1.36,1.1,0.97,0.9,0.85,0.82
1.8,1.3,1.02,0.88,0.81,0.76,0.73
1.74,1.34,1.1,0.98,0.91,0.86,0.83
1.74,1.34,1.11,0.99,0.92,0.88,0.85
1.8,1.32,1.04,0.91,0.83,0.79,0.75
1.75,1.26,0.98,0.85,0.78,0.73,0.7
1.78,1.33,1.08,0.95,0.88,0.83,0.8
1.82,1.3,1.01,0.87,0.8,0.75,0.72
1.69,1.26,1.02,0.9,0.83,0.79,0.76
1.72,1.31,1.07,0.95,0.88,0.84,0.81
1.73,1.26,1,0.87,0.8,0.75,0.72
1.73,1.26,1,0.87,0.8,0.75,0.72
1.58,1.2,0.98,0.87,0.81,0.77,0.74
1.81,1.35,1.09,0.96,0.89,0.84,0.81
1.81,1.35,1.09,0.96,0.89,0.84,0.81
1.81,1.36,1.1,0.97,0.89,0.85,0.81
1.81,1.36,1.1,0.97,0.89,0.85,0.81
1.59,1.23,1.02,0.92,0.86,0.82,0.79
1.75,1.31,1.06,0.93,0.86,0.82,0.79
1.75,1.31,1.06,0.93,0.86,0.82,0.79
1.61,1.21,0.98,0.87,0.81,0.77,0.74
