SSB2017,R0
2690920,95.14286
4192933,158.5335
3233604,90.36211
2671931,76.76544
3003229,130.863
3471256,90.68457
3793814,106.6104
2941566,74.80056
3048880,71.90205
3287974,106.7517
7019703,191.1917
3358111,77.11536
2883744,84.9305
6054856,182.6279
3411207,98.97707
2613777,80.53309
2848908,76.40203
3242397,130.1225
2672321,97.36565
3852143,128.4804
5120064,148.046
7032340,222.2293
7032340,222.2293
2293892,75.13397
2343997,82.05253
8073069,247.9606
6606487,183.488
4371374,185.2278
2510441,81.84456
1894843,83.60913
4137130,179.241
2909002,91.8653
3036795,113.8801
2627589,71.22967
2166566,109.4031
1741344,81.8596
1741344,81.8596
3509065,119.8555
2458973,75.78484
2715454,121.3785
2882284,79.98604
6608871,193.6643
2091083,98.9867
4291311,107.3938
6515454,291.8958
3216118,86.14197
2506331,130.1567
6083941,164.6748
3408946,181.2311
8247668,230.6714
2442940,94.48776
3210071,78.4939
6004427,189.124
11642220,321.3915
2086633,71.17737
6767942,261.9552
2680150,78.34079
3183020,112.8376
6353707,162.5832
5745820,152.5373
3155905,97.09813
2183734,118.8606
3418359,106.2248
6510912,164.5178
6485261,200.763
2403365,102.2805
6075948,231.9171
3053347,146.4088
3058558,124.9127
3231080,109.8284
2727131,107.472
4939474,156.1502
4939474,156.1502
3051471,114.6904
2780333,94.54276
2936915,113.0949
2718694,116.531
5762898,224.3473
3338460,103.2676
4617521,216.8995
3022216,91.73031
2904699,89.77043
2180970,71.92701
3211683,92.51105
2255184,77.34693
2930837,122.157
2385571,85.2172
2385571,85.2172
2728928,78.49389
6362054,219.5326
3131284,79.77802
3131284,79.77802
2077830,106.5872
2390055,91.78367
3023702,100.944
3023702,100.944
2396027,93.06327
2538099,75.31424
2636111,70.37732
3911869,172.4115
5393591,178.8871
3313201,92.4416
3762770,119.5815
7110965,174.8849
2218079,125.8079
3375319,76.79569
2895948,94.64822
2422889,111.0479
2422889,111.0479
6965871,209.2059
2950126,71.88162
2950126,71.88162
2950126,71.88162
8986660,293.0757
2918302,103.0574
2252511,85.75502
2028983,99.55059
1968324,95.14473
1968324,95.14473
3200330,110.938
2329830,92.22904
2930111,96.67898
6284028,205.9457
3159004,91.80869
3277529,101.154
2818963,83.24114
4487757,123.5097
2912965,81.92492
3041987,93.86266
9416180,305.2071
7818861,253.8727
7627565,237.4283
7627565,237.4283
3621799,92.37552
4971438,205.9339
1963731,100.5608
3510617,75.84556
3510617,75.84556
2310134,78.14279
2046596,88.11896
2766250,76.99425
3076301,111.1269
3270539,95.10285
3997091,120.6872
4284971,148.6459
2648129,72.30582
2617106,118.9437
2617106,118.9437
3320291,116.2958
2297074,75.86637
2297074,75.86637
3183983,78.17883
3589881,103.4756
5167278,155.7383
1943273,87.74595
8076895,236.2313
2144203,88.9495
2290796,70.67014
2509810,78.46043
2509810,78.46043
2305817,81.14506
4427850,252.1434
4619209,177.3109
5098291,243.5403
5621474,143.3569
3471277,119.8555
3241601,133.6342
3233544,91.80869
2914177,86.56755
2914177,86.56755
5263594,206.1906
2065300,71.92697
8391295,216.5498
2745227,72.44991
2586969,79.43676
6194965,197.7916
2836795,103.8059
2463598,110.7021
2463598,110.7021
5173560,229.5256
2389733,86.58159
2868197,73.28413
2973245,103.6978
2876726,98.19794
3236492,90.22955
3173834,98.18465
4175096,117.1957
4175096,117.1957
2640663,114.6553
2327595,126.8532
7613199,273.7329
4655958,195.0012
2164231,85.20313
2164231,85.20313
7756508,231.7364
3441335,104.2558
6572894,164.5165
3522330,89.69091
3075511,87.63504
6913716,279.1839
6913716,279.1839
2997673,154.0594
10087460,294.7996
2314834,72.76286
2771586,86.60084
3541236,86.334
1933432,94.94812
4029542,139.9961
3060498,107.7491
2298213,104.0797
2298213,104.0797
1840337,91.73038
4347112,164.6721
2507188,97.99248
2257924,71.90206
2172559,82.60799
3489549,169.8791
3882505,142.7847
2072447,83.25004
3029614,88.20405
2716840,112.8894
2196727,85.21767
1893549,84.39905
3275817,71.4252
3738206,77.54923
7607578,202.4927
4695642,208.3651
2680765,115.1098
2668305,87.16726
3653373,96.48762
3590006,88.80052
3181171,152.3731
2529049,104.5677
2555688,72.78629
3025752,70.5391
5809753,259.9538
5809753,259.9538
3474530,90.42019
2887088,73.12549
2303497,71.96339
2910870,84.79716
2910870,84.79716
2593679,74.50929
3487417,95.48313
2531369,102.0208
3406271,95.14188
3406271,95.14188
2981285,84.36545
2779926,78.95793
2782809,85.73113
5146160,183.2834
7632470,234.4421
3624511,108.3456
3611995,97.09743
2176526,109.9594
2780921,73.02269
2455200,87.61215
2625275,110.5561
2889749,76.77374
3901606,205.4964
2305393,81.47324
2894071,100.1832
9428502,287.8162
2866565,80.80092
2878516,113.0949
4899568,133.786
2501697,118.2349
3196394,70.48772
6496276,293.1593
7229461,209.421
2308358,76.93526
6333038,164.5175
2453229,73.28412
3416885,134.2299
2084197,86.43876
6039569,201.8017
1952834,77.81426
6094662,192.1281
1789284,100.1618
2037886,76.99424
2653259,94.54976
3937037,139.9315
2836151,73.2663
8359408,240.925
4065544,91.48286
3968815,191.1919
1991557,121.9111
3054525,136.1163
4153339,115.3848
2684050,72.0467
3279836,113.5194
2187822,83.88993
2061188,77.00854
2451994,73.74673
5901267,292.7054
2197688,74.3805
2197688,74.3805
3833263,100.5575
2527091,105.6373
3390341,76.82845
3132668,93.57554
2701489,111.0477
2036951,96.91238
7213141,237.5736
3788110,101.3625
2914483,72.04914
2344930,105.5936
2295362,96.14457
3728982,124.5426
3290547,70.54596
2044864,83.25004
3603384,124.6957
3603384,124.6957
2835534,99.4135
2277981,85.2031
4588384,221.64
1959902,103.6147
5370694,229.7261
2900536,71.78705
2900536,71.78705
2623002,80.64609
2623002,80.64609
4675826,148.0461
6044342,258.6645
