EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"4/18/2024 3:51:16 PM"
ModelName,"NWACS AM 7ages"
EcosimScenario,base_run
TimeSeries,(none)
StartYear,0


MSY run,MSY
Assessment,stationary_stock
Fleet,F.menhaden

,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
FmsyFound,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0

F,"striped bass 0","striped bass 2-5","striped bass 6+","menhaden 0","menhaden 1","menhaden 2","menhaden 3","menhaden 4","menhaden 5","menhaden 6+","spiny dogfish","bluefish juv","bluefish adult","weakfish juv","weakfish adult","Atlantic herring 0-1","Atlantic herring 2+",anchovies,benthos,zooplankton,phytoplankton,Detritus
1.214285,0.008415417,0.03615805,0.01848,0.2768814,0.9263976,0.7100382,0.288081,0.09600536,0.03310131,0.02349417,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1.228571,0.008415417,0.03615805,0.01848,0.2765281,0.9254026,0.7085005,0.2869561,0.09546443,0.03284469,0.02331086,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1.242857,0.008415417,0.03615805,0.01848,0.2761667,0.9243899,0.7069535,0.2858294,0.09492379,0.03258853,0.02312764,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1.257142,0.008415417,0.03615805,0.01848,0.2757971,0.923359,0.7053976,0.284701,0.09438346,0.03233284,0.02294452,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1.271428,0.008415417,0.03615805,0.01848,0.2754193,0.9223107,0.7038326,0.2835709,0.09384349,0.03207767,0.02276155,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1.285714,0.008415417,0.03615805,0.01848,0.2750333,0.921244,0.7022583,0.2824391,0.0933038,0.03182303,0.02257873,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1.299999,0.008415417,0.03615805,0.01848,0.2746389,0.9201594,0.7006752,0.2813056,0.09276444,0.03156888,0.02239606,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1.314285,0.008415417,0.03615805,0.01848,0.2742646,0.9191126,0.6991151,0.2801829,0.09222946,0.0313165,0.02221405,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1.328571,0.008415417,0.03615805,0.01848,0.2738897,0.918063,0.6975549,0.2790622,0.09169598,0.03106501,0.02203239,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
1.342856,0.008415417,0.03615805,0.01848,0.2735071,0.9169965,0.6959864,0.2779401,0.09116297,0.03081414,0.02185094,0.2715,0.00432475,0.2197,0.001221713,0.0127,0.008322371,0.1497,0.2713,14.546,13.559,8.596,12.974
