EwEVersion,6.6.5.17207 (compiled 12/14/2020),,,,,,,,,,,,,,,,,,,,,
Date,4/18/2024 15:51,,,,,,,,,,,,,,,,,,,,,
ModelName,NWACS AM 7ages,,,,,,,,,,,,,,,,,,,,,
EcosimScenario,base_run,,,,,,,,,,,,,,,,,,,,,
TimeSeries,(none),,,,,,,,,,,,,,,,,,,,,
StartYear,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MSY run,MSY,,,,,,,,,,,,,,,,,,,,,
Assessment,stationary_stock,,,,,,,,,,,,,,,,,,,,,
Fleet,F.menhaden,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,striped bass 0,striped bass 2-5,striped bass 6+,menhaden 0,menhaden 1,menhaden 2,menhaden 3,menhaden 4,menhaden 5,menhaden 6+,spiny dogfish,bluefish juv,bluefish adult,weakfish juv,weakfish adult,Atlantic herring 0-1,Atlantic herring 2+,anchovies,benthos,zooplankton,phytoplankton,Detritus
FmsyFound,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
F,striped bass 0,striped bass 2-5,striped bass 6+,menhaden 0,menhaden 1,menhaden 2,menhaden 3,menhaden 4,menhaden 5,menhaden 6+,spiny dogfish,bluefish juv,bluefish adult,weakfish juv,weakfish adult,Atlantic herring 0-1,Atlantic herring 2+,anchovies,benthos,zooplankton,phytoplankton,Detritus
0.4428562,1.58E-06,0.000737796,0.00316403,0.002358281,0.02952747,0.07705406,0.02241295,0.01764681,0.004192528,0.002149152,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.4571419,1.58E-06,0.000737796,0.00316403,0.002434664,0.03047512,0.07942852,0.02306703,0.01813683,0.004303587,0.002207287,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.4714276,1.58E-06,0.000737796,0.00316403,0.002511007,0.031422,0.08179523,0.02371668,0.01862189,0.004413122,0.002264679,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.4857133,1.58E-06,0.000737796,0.00316403,0.002587303,0.03236804,0.08415404,0.02436187,0.01910197,0.004521132,0.002321322,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.499999,1.58E-06,0.000737796,0.00316403,0.002663547,0.0333132,0.08650488,0.0250026,0.01957707,0.004627613,0.00237721,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.5142847,1.58E-06,0.000737796,0.00316403,0.002739731,0.03425744,0.08884764,0.02563884,0.02004719,0.004732568,0.002432345,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.5285705,1.58E-06,0.000737796,0.00316403,0.002815851,0.0352007,0.09118229,0.0262706,0.02051233,0.004835994,0.00248672,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.5428562,1.58E-06,0.000737796,0.00316403,0.002891902,0.03614296,0.09350874,0.02689786,0.0209725,0.004937895,0.002540334,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.557142,1.58E-06,0.000737796,0.00316403,0.002967874,0.03708412,0.09582685,0.02752059,0.02142769,0.005038266,0.002593184,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
0.5714277,1.58E-06,0.000737796,0.00316403,0.003043767,0.03802419,0.09813657,0.02813878,0.02187788,0.005137112,0.002645268,0.005142,0.000749268,0.03243504,2.69E-05,0.002820641,0.002065392,0.05915061,0,0,0,0,0
